,MOVIES,RATING,PLOT,VOTES,RunTime,Gross,MOVIE ID,is_tv_movie,is_tv_special,is_tv_short,is_video_game
0,Blood Red Sky,6.1,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"21,062",121.0,,1146,0,0,0,0
1,Masters of the Universe: Revelation,5.0,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"17,870",25.0,,3752,0,0,0,0
2,The Walking Dead,8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"885,805",44.0,,6079,0,0,0,0
3,Rick and Morty,9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"414,849",23.0,,4663,0,0,0,0
4,Army of Thieves,,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",,,,837,0,0,0,0
5,Outer Banks,7.6,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,"25,858",50.0,,4307,0,0,0,0
6,The Last Letter from Your Lover,6.8,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,"5,283",110.0,,5792,0,0,0,0
7,Dexter,8.6,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","665,387",53.0,,1790,0,0,0,0
8,Never Have I Ever,7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","34,530",30.0,,4118,0,0,0,0
9,Virgin River,7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","27,279",44.0,,6553,0,0,0,0
10,Gunpowder Milkshake,6.0,Three generations of women fight back against those who could take everything from them.,"17,989",114.0,,2521,0,0,0,0
11,Lucifer,8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"264,222",42.0,,3622,0,0,0,0
12,Fear Street: 1994,6.2,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,"50,148",107.0,,2159,0,0,0,0
13,Sex/Life,5.4,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,"12,172",,,4931,0,0,0,0
14,American Horror Story,8.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","286,488",60.0,,743,0,0,0,0
15,Grey's Anatomy,7.5,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"266,258",41.0,,2497,0,0,0,0
16,Breaking Bad,9.4,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"1,552,311",49.0,,1235,0,0,0,0
17,The Good Doctor,8.1,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","70,871",41.0,,5666,0,0,0,0
18,Atypical,8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","71,544",30.0,,882,0,0,0,0
19,Stranger Things,8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","885,856",51.0,,5239,0,0,0,0
20,Fear Street: 1978,6.8,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","36,634",109.0,,2158,0,0,0,0
21,Friends,8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"880,918",22.0,,2273,0,0,0,0
22,The Flash,7.6,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","320,264",43.0,,5637,0,0,0,0
23,Peaky Blinders,8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","393,414",60.0,,4382,0,0,0,0
24,He-Man and the Masters of the Universe,,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,,,2623,0,0,0,0
25,Chernobyl,5.0,A story about a heroic fireman who worked as one of Chernobyl liquidators.,"4,681",136.0,,1397,0,0,0,0
26,Vikings,8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","459,913",44.0,,6543,0,0,0,0
27,Better Call Saul,8.8,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","347,857",46.0,,1055,0,0,0,0
28,Supernatural,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","404,273",44.0,,5303,0,0,0,0
29,The Blacklist,8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","213,522",43.0,,5487,0,0,0,0
30,Fear Street: 1666,6.7,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,"27,447",114.0,,2157,0,0,0,0
